time,weathercode,temperature_2m_max,temperature_2m_min,precipitation_sum,month-day,city
2008-12-08,55,6.0,0.2,5.1,12.08,3
2008-12-08,51,6.9,1.0,0.8,12.08,2
2008-12-08,55,7.7,4.6,7.4,12.08,6
2008-12-08,55,5.5,1.1,3.8,12.08,9
2008-12-09,53,5.8,3.1,3.6,12.09,6
2008-12-09,1,3.5,-1.4,0.0,12.09,4
2008-12-09,2,4.7,-2.2,0.0,12.09,3
2008-12-09,53,5.1,0.3,1.5,12.09,1
2008-12-09,2,3.6,-0.5,0.0,12.09,8
2008-12-09,3,5.9,0.4,0.0,12.09,7
2008-12-09,1,3.3,0.6,0.0,12.09,2
2008-12-09,51,4.7,-0.4,0.5,12.09,9
2008-12-09,2,4.4,-0.8,0.0,12.09,5
2008-12-09,2,6.0,1.5,0.0,12.09,10
2008-12-10,3,4.1,-0.1,0.0,12.1,8
2008-12-10,1,5.0,-2.5,0.0,12.1,7
2008-12-10,2,5.6,-0.2,0.0,12.1,10
2008-12-10,1,3.5,-1.3,0.0,12.1,9
2008-12-10,1,3.2,-1.2,0.0,12.1,5
2008-12-10,0,3.3,-1.7,0.0,12.1,4
2008-12-10,2,3.9,-0.2,0.0,12.1,2
2008-12-10,1,5.1,2.5,0.0,12.1,6
2008-12-10,2,3.6,-1.5,0.0,12.1,1
2008-12-10,2,3.4,-2.4,0.0,12.1,3
2008-12-11,3,3.6,0.1,0.0,12.11,6
2008-12-11,3,4.0,-3.0,0.0,12.11,10
2008-12-11,2,3.3,-2.6,0.0,12.11,9
2008-12-11,3,3.2,-3.5,0.0,12.11,3
2008-12-11,3,2.5,-1.3,0.0,12.11,2
2008-12-11,3,3.6,-2.7,0.0,12.11,7
2008-12-11,73,2.0,-2.1,1.4,12.11,4
2008-12-11,2,3.8,-3.0,0.0,12.11,1
2008-12-11,3,2.9,-2.0,0.0,12.11,5
2008-12-11,2,3.8,-3.0,0.0,12.11,8
2008-12-12,53,7.7,1.4,4.4,12.12,6
2008-12-12,61,8.7,0.6,8.1,12.12,10
2008-12-12,73,7.2,0.3,19.3,12.12,4
2008-12-12,53,8.0,-2.3,3.1,12.12,7
2008-12-12,51,7.2,-2.6,0.4,12.12,9
2008-12-12,51,7.0,-3.9,0.5,12.12,1
2008-12-12,73,6.7,0.3,9.1,12.12,2
2008-12-12,71,6.8,-1.2,2.1,12.12,3
2008-12-12,51,6.9,-3.6,0.5,12.12,8
2008-12-12,71,6.9,-1.3,2.1,12.12,5
2008-12-13,61,6.4,4.2,18.5,12.13,1
2008-12-13,63,7.5,3.6,24.8,12.13,3
2008-12-13,63,8.6,1.5,25.0,12.13,7
2008-12-13,63,8.2,3.7,17.0,12.13,6
2008-12-13,73,7.0,1.0,28.2,12.13,8
2008-12-13,63,6.8,3.7,24.1,12.13,9
2008-12-13,63,6.8,1.8,8.1,12.13,4
2008-12-13,71,7.2,2.9,15.1,12.13,2
2008-12-13,63,7.0,2.9,25.0,12.13,5
2008-12-13,63,8.9,2.5,20.9,12.13,10
2008-12-14,3,4.1,3.3,0.0,12.14,9
2008-12-14,51,3.1,0.3,0.6,12.14,4
2008-12-14,51,5.8,1.4,1.4,12.14,6
2008-12-14,73,3.5,1.0,1.7,12.14,8
2008-12-14,51,4.5,1.4,0.1,12.14,5
2008-12-14,51,4.3,3.0,0.4,12.14,1
2008-12-14,71,3.1,2.3,3.2,12.14,2
2008-12-14,51,4.5,0.4,1.0,12.14,3
2008-12-14,3,4.2,-0.6,0.0,12.14,7
2008-12-14,3,5.0,0.1,0.0,12.14,10
2008-12-15,3,2.2,-0.0,0.0,12.15,8
2008-12-15,3,1.6,-0.4,0.0,12.15,3
2008-12-15,3,6.7,1.0,0.0,12.15,2
2008-12-15,3,4.4,-0.1,0.0,12.15,10
2008-12-15,51,6.4,0.1,0.1,12.15,4
2008-12-15,3,5.4,2.2,0.0,12.15,1
2008-12-15,3,2.2,0.4,0.0,12.15,5
2008-12-15,3,4.3,2.2,0.0,12.15,9
2008-12-15,3,3.0,0.0,0.0,12.15,7
2008-12-15,3,3.5,1.5,0.0,12.15,6
2008-12-16,51,9.1,0.1,0.3,12.16,10
2008-12-16,53,8.6,4.6,3.9,12.16,2
2008-12-16,61,8.5,3.9,9.4,12.16,4
2008-12-16,55,8.3,1.3,3.6,12.16,3
2008-12-16,61,9.3,3.1,4.1,12.16,6
2008-12-16,3,8.6,-0.0,0.0,12.16,7
2008-12-16,51,8.2,-0.5,0.3,12.16,5
2008-12-16,51,8.2,0.2,0.7,12.16,8
2008-12-16,3,6.4,1.2,0.0,12.16,1
2008-12-16,3,7.9,0.6,0.0,12.16,9
2008-12-17,3,7.3,1.5,0.0,12.17,8
2008-12-17,51,9.0,4.5,0.8,12.17,6
2008-12-17,55,9.5,3.6,6.5,12.17,4
2008-12-17,3,8.0,2.3,0.0,12.17,9
2008-12-17,51,7.8,2.6,0.2,12.17,3
2008-12-17,3,7.2,1.5,0.0,12.17,5
2008-12-17,3,9.1,3.7,0.0,12.17,10
2008-12-17,3,8.0,2.3,0.0,12.17,7
2008-12-17,51,8.1,1.7,0.3,12.17,1
2008-12-17,53,9.5,3.4,2.6,12.17,2
2008-12-18,53,10.7,6.4,1.0,12.18,6
2008-12-18,51,10.4,7.6,0.3,12.18,7
2008-12-18,51,10.4,7.8,0.1,12.18,10
2008-12-18,51,9.8,5.8,1.1,12.18,5
2008-12-18,3,9.6,3.9,0.0,12.18,1
2008-12-18,55,9.9,5.3,2.2,12.18,3
2008-12-18,51,10.0,5.0,0.4,12.18,8
2008-12-18,53,10.0,4.0,4.9,12.18,2
2008-12-18,61,9.7,3.8,9.7,12.18,4
2008-12-18,51,9.9,6.0,0.3,12.18,9
2008-12-19,55,11.0,3.2,5.5,12.19,8
2008-12-19,71,10.2,3.0,13.3,12.19,4
2008-12-19,53,11.3,4.9,4.4,12.19,6
2008-12-19,3,10.5,3.1,0.0,12.19,7
2008-12-19,51,10.5,2.0,0.2,12.19,5
2008-12-19,53,10.7,3.6,5.9,12.19,3
2008-12-19,61,9.9,2.7,9.7,12.19,2
2008-12-19,3,10.3,2.3,0.0,12.19,9
2008-12-19,3,10.1,2.4,0.0,12.19,1
2008-12-19,51,10.6,4.7,0.1,12.19,10
2008-12-20,53,10.9,8.5,4.4,12.2,6
2008-12-20,51,7.4,4.7,0.7,12.2,2
2008-12-20,51,10.4,7.4,1.0,12.2,3
2008-12-20,3,11.5,9.9,0.0,12.2,9
2008-12-20,51,11.2,9.9,1.1,12.2,5
2008-12-20,3,11.1,10.3,0.0,12.2,10
2008-12-20,51,9.6,4.7,0.9,12.2,4
2008-12-20,3,12.0,10.4,0.0,12.2,1
2008-12-20,3,11.4,10.3,0.0,12.2,7
2008-12-20,53,10.1,6.4,1.7,12.2,8
2008-12-21,51,11.5,8.7,1.6,12.21,3
2008-12-21,3,10.5,9.1,0.0,12.21,1
2008-12-21,3,11.3,9.2,0.0,12.21,5
2008-12-21,3,11.1,8.7,0.0,12.21,2
2008-12-21,53,10.8,9.0,3.1,12.21,4
